Time: 2022-06-16T22:32:03.620765, Epoch: 0, batch: 3600, loss: 0.1652749627828598 
Time: 2022-06-16T22:32:09.570256, Epoch: 0, batch: 3700, loss: 0.04410013556480408 
Time: 2022-06-16T22:32:15.536661, Epoch: 0, batch: 3800, loss: 0.13260121643543243 
Time: 2022-06-16T22:32:21.522632, Epoch: 0, batch: 3900, loss: 0.08843578398227692 
Time: 2022-06-16T22:32:27.475891, Epoch: 0, batch: 4000, loss: 0.09750068187713623 
Time: 2022-06-16T22:33:15.963006, Epoch: 0, batch: 4100, loss: 0.29348742961883545 
Time: 2022-06-16T22:33:21.970234, Epoch: 0, batch: 4200, loss: 0.09096004068851471 
Time: 2022-06-16T22:33:27.956836, Epoch: 0, batch: 4300, loss: 0.09787483513355255 
Time: 2022-06-16T22:33:33.878761, Epoch: 0, batch: 4400, loss: 0.051577240228652954 
Time: 2022-06-16T22:33:39.917436, Epoch: 0, batch: 4500, loss: 0.08332739770412445 
Time: 2022-06-16T22:33:45.857356, Epoch: 0, batch: 4600, loss: 0.09874376654624939 
Time: 2022-06-16T22:33:51.880896, Epoch: 0, batch: 4700, loss: 0.23638637363910675 
Time: 2022-06-16T22:33:57.932052, Epoch: 0, batch: 4800, loss: 0.15347687900066376 
Time: 2022-06-16T22:34:03.994895, Epoch: 0, batch: 4900, loss: 0.07014444470405579 
Time: 2022-06-16T22:34:10.013043, Epoch: 0, batch: 5000, loss: 0.0924302488565445 
Time: 2022-06-16T22:34:16.063805, Epoch: 0, batch: 5100, loss: 0.10479562729597092 
Time: 2022-06-16T22:34:22.053454, Epoch: 0, batch: 5200, loss: 0.2830415964126587 
Time: 2022-06-16T22:34:28.084667, Epoch: 0, batch: 5300, loss: 0.1436569094657898 
Time: 2022-06-16T22:34:33.994079, Epoch: 0, batch: 5400, loss: 0.3406732678413391 
Time: 2022-06-16T22:34:40.006115, Epoch: 0, batch: 5500, loss: 0.08744238317012787 
Time: 2022-06-16T22:34:46.796971, Epoch: 0, batch: 5600, loss: 0.15051999688148499 
Time: 2022-06-16T22:34:52.849784, Epoch: 0, batch: 5700, loss: 0.15478304028511047 
Time: 2022-06-16T22:34:58.906755, Epoch: 0, batch: 5800, loss: 0.20524734258651733 
Time: 2022-06-16T22:35:04.987336, Epoch: 0, batch: 5900, loss: 0.1412537842988968 
Time: 2022-06-16T22:35:11.094662, Epoch: 0, batch: 6000, loss: 0.07032431662082672 
Time: 2022-06-16T22:36:00.151771, Epoch: 0, batch: 6100, loss: 0.1736850142478943 
Time: 2022-06-16T22:36:06.348641, Epoch: 0, batch: 6200, loss: 0.1016353964805603 
Time: 2022-06-16T22:36:12.393113, Epoch: 0, batch: 6300, loss: 0.1620151251554489 
Time: 2022-06-16T22:36:18.451114, Epoch: 0, batch: 6400, loss: 0.3003152906894684 
Time: 2022-06-16T22:36:24.567918, Epoch: 0, batch: 6500, loss: 0.3119206428527832 
Time: 2022-06-16T22:36:30.588082, Epoch: 0, batch: 6600, loss: 0.28477752208709717 
Time: 2022-06-16T22:36:36.585095, Epoch: 0, batch: 6700, loss: 0.10740192234516144 
Time: 2022-06-16T22:36:42.638725, Epoch: 0, batch: 6800, loss: 0.07823839038610458 
Time: 2022-06-16T22:36:48.678703, Epoch: 0, batch: 6900, loss: 0.060563549399375916 
Time: 2022-06-16T22:36:54.755530, Epoch: 0, batch: 7000, loss: 0.13564550876617432 
Time: 2022-06-16T22:37:00.807311, Epoch: 0, batch: 7100, loss: 0.048681050539016724 
Time: 2022-06-16T22:37:06.868329, Epoch: 0, batch: 7200, loss: 0.0 
Time: 2022-06-16T22:37:13.008097, Epoch: 0, batch: 7300, loss: 0.29034826159477234 
Time: 2022-06-16T22:37:18.894123, Epoch: 0, batch: 7400, loss: 0.09210725128650665 
