Time: 2022-06-17T14:53:18.317203, Epoch: 0, batch: 5700, loss: 0.09959641098976135 
Time: 2022-06-17T14:53:27.346453, Epoch: 0, batch: 5800, loss: 0.2635643482208252 
Time: 2022-06-17T14:53:36.676488, Epoch: 0, batch: 5900, loss: 0.2117466926574707 
Time: 2022-06-17T14:53:45.851280, Epoch: 0, batch: 6000, loss: 0.2295093685388565 
Time: 2022-06-17T14:54:48.266064, Epoch: 0, batch: 6100, loss: 0.19515064358711243 
Time: 2022-06-17T14:54:57.923408, Epoch: 0, batch: 6200, loss: 0.12890441715717316 
Time: 2022-06-17T14:55:07.110741, Epoch: 0, batch: 6300, loss: 0.21932239830493927 
Time: 2022-06-17T14:55:16.571644, Epoch: 0, batch: 6400, loss: 0.19471454620361328 
Time: 2022-06-17T14:55:25.828152, Epoch: 0, batch: 6500, loss: 0.3607293367385864 
Time: 2022-06-17T14:55:34.666895, Epoch: 0, batch: 6600, loss: 0.2984132766723633 
Time: 2022-06-17T14:55:43.566274, Epoch: 0, batch: 6700, loss: 0.07124020904302597 
Time: 2022-06-17T14:55:52.504421, Epoch: 0, batch: 6800, loss: 0.10792722553014755 
Time: 2022-06-17T14:56:01.399789, Epoch: 0, batch: 6900, loss: 0.09458951652050018 
Time: 2022-06-17T14:56:10.310772, Epoch: 0, batch: 7000, loss: 0.10264062881469727 
Time: 2022-06-17T14:56:18.943244, Epoch: 0, batch: 7100, loss: 0.08681919425725937 
Time: 2022-06-17T14:56:27.904020, Epoch: 0, batch: 7200, loss: 0.04229148477315903 
Time: 2022-06-17T14:56:36.811012, Epoch: 0, batch: 7300, loss: 0.28493571281433105 
Time: 2022-06-17T14:56:45.703890, Epoch: 0, batch: 7400, loss: 0.1763276755809784 
Time: 2022-06-17T14:56:54.700363, Epoch: 0, batch: 7500, loss: 0.3021310567855835 
Time: 2022-06-17T14:57:03.736282, Epoch: 0, batch: 7600, loss: 0.09114862978458405 
Time: 2022-06-17T14:57:12.895420, Epoch: 0, batch: 7700, loss: 0.06483300030231476 
Time: 2022-06-17T14:57:22.139256, Epoch: 0, batch: 7800, loss: 0.17580890655517578 
Time: 2022-06-17T14:57:31.459294, Epoch: 0, batch: 7900, loss: 0.09499098360538483 
Time: 2022-06-17T14:57:40.645006, Epoch: 0, batch: 8000, loss: 0.2022382915019989 
Time: 2022-06-17T14:58:41.492850, Epoch: 0, batch: 8100, loss: 0.37913715839385986 
Time: 2022-06-17T14:58:50.465794, Epoch: 0, batch: 8200, loss: 0.1592927873134613 
Time: 2022-06-17T14:59:00.288439, Epoch: 0, batch: 8300, loss: 0.2364334613084793 
Time: 2022-06-17T14:59:09.330461, Epoch: 0, batch: 8400, loss: 0.09393180906772614 
Time: 2022-06-17T14:59:18.354850, Epoch: 0, batch: 8500, loss: 0.1639108806848526 
Time: 2022-06-17T14:59:27.438450, Epoch: 0, batch: 8600, loss: 0.08888693898916245 
Time: 2022-06-17T14:59:36.506257, Epoch: 0, batch: 8700, loss: 0.11733381450176239 
Time: 2022-06-17T14:59:45.730995, Epoch: 0, batch: 8800, loss: 0.08190521597862244 
Time: 2022-06-17T14:59:54.769393, Epoch: 0, batch: 8900, loss: 0.12184250354766846 
Time: 2022-06-17T15:00:04.121714, Epoch: 0, batch: 9000, loss: 0.04269172251224518 
Time: 2022-06-17T15:00:13.107779, Epoch: 0, batch: 9100, loss: 0.11092474311590195 
Time: 2022-06-17T15:00:22.149729, Epoch: 0, batch: 9200, loss: 0.003899691626429558 
Time: 2022-06-17T15:00:31.351886, Epoch: 0, batch: 9300, loss: 0.20174486935138702 
Time: 2022-06-17T15:00:40.597986, Epoch: 0, batch: 9400, loss: 0.284747838973999 
Time: 2022-06-17T15:00:49.897853, Epoch: 0, batch: 9500, loss: 0.058091334998607635 
Time: 2022-06-17T15:00:59.204754, Epoch: 0, batch: 9600, loss: 0.06158971041440964 
Time: 2022-06-17T15:01:08.604391, Epoch: 0, batch: 9700, loss: 0.05636173486709595 
Time: 2022-06-17T15:01:17.993249, Epoch: 0, batch: 9800, loss: 0.027574826031923294 
Time: 2022-06-17T15:01:27.298579, Epoch: 0, batch: 9900, loss: 0.08822942525148392 
Time: 2022-06-17T15:01:36.973687, Epoch: 0, batch: 10000, loss: 0.16935428977012634 
Time: 2022-06-17T15:02:39.650699, Epoch: 0, batch: 10100, loss: 0.1279645562171936 
Time: 2022-06-17T15:02:48.947647, Epoch: 0, batch: 10200, loss: 0.2568123936653137 
Time: 2022-06-17T15:02:58.158978, Epoch: 0, batch: 10300, loss: 0.13272491097450256 
Time: 2022-06-17T15:03:07.414040, Epoch: 0, batch: 10400, loss: 0.06053384393453598 
Time: 2022-06-17T15:03:16.754003, Epoch: 0, batch: 10500, loss: 0.10303541272878647 
Time: 2022-06-17T15:03:26.135564, Epoch: 0, batch: 10600, loss: 0.13143421709537506 
Time: 2022-06-17T15:03:35.509813, Epoch: 0, batch: 10700, loss: 0.26861172914505005 
Time: 2022-06-17T15:03:44.852653, Epoch: 0, batch: 10800, loss: 0.2305649071931839 
Time: 2022-06-17T15:03:54.247591, Epoch: 0, batch: 10900, loss: 0.18126164376735687 
Time: 2022-06-17T15:04:03.778487, Epoch: 0, batch: 11000, loss: 0.1673414409160614 
Time: 2022-06-17T15:04:13.064154, Epoch: 0, batch: 11100, loss: 0.27488604187965393 
